EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
4291.538574,4331.025879,4294.871582,4337.692383,4351.282227,4284.615234,4288.333496,4269.102539,4212.94873,4213.717773,4355.128418,4369.102539,4314.743652,4355.256348
4294.871582,4330.128418,4300.897461,4339.615234,4351.410156,4281.794922,4288.846191,4265.128418,4210.384766,4212.692383,4360,4375.384766,4316.153809,4359.615234
4295,4308.461426,4302.94873,4328.974121,4350.641113,4284.230957,4289.871582,4272.94873,4215.256348,4216.538574,4364.615234,4385.512695,4315.128418,4363.205078
4296.025879,4307.307617,4301.410156,4325.128418,4349.871582,4278.974121,4278.974121,4267.307617,4216.282227,4215.512695,4369.871582,4384.358887,4322.179688,4368.333496
4307.179688,4332.05127,4310.384766,4335.256348,4351.922852,4277.179688,4273.846191,4259.487305,4213.717773,4213.717773,4380.256348,4387.05127,4334.230957,4381.410156
4313.717773,4328.846191,4316.922852,4329.487305,4347.179688,4280,4281.538574,4271.922852,4221.922852,4223.205078,4384.743652,4395.641113,4333.077148,4389.230957
4311.282227,4312.307617,4312.05127,4312.05127,4344.358887,4281.153809,4286.025879,4282.820313,4233.205078,4232.307617,4381.538574,4398.717773,4323.461426,4389.102539
4316.153809,4322.179688,4315.512695,4313.589844,4349.743652,4287.307617,4288.461426,4281.538574,4236.410156,4233.846191,4386.410156,4404.102539,4326.666504,4396.282227
4325.769043,4329.615234,4326.666504,4323.589844,4352.179688,4296.282227,4293.974121,4288.846191,4236.538574,4233.077148,4386.410156,4406.922852,4331.282227,4401.538574
4325,4321.922852,4328.461426,4321.025879,4353.333496,4299.230957,4298.077148,4296.794922,4235.897461,4228.461426,4375.769043,4400.256348,4321.282227,4395.384766
4321.538574,4321.666504,4325.512695,4319.487305,4357.563965,4300,4298.717773,4289.487305,4233.717773,4220.897461,4372.692383,4396.410156,4311.538574,4393.589844
4320.897461,4322.05127,4322.94873,4323.717773,4357.692383,4299.102539,4293.589844,4277.307617,4232.05127,4218.461426,4369.102539,4391.538574,4310.384766,4391.922852
4314.871582,4321.282227,4316.538574,4326.538574,4359.230957,4295.256348,4286.922852,4274.487305,4227.05127,4219.615234,4365.897461,4381.153809,4309.358887,4382.692383
4309.743652,4322.307617,4313.205078,4330.384766,4366.538574,4296.538574,4290.897461,4275.897461,4220.512695,4215.897461,4371.538574,4380.769043,4303.717773,4377.179688
4318.461426,4329.615234,4318.589844,4339.487305,4367.179688,4296.922852,4290.769043,4273.589844,4217.94873,4216.282227,4373.846191,4386.794922,4304.743652,4384.358887
4326.922852,4337.436035,4321.666504,4347.307617,4364.743652,4291.794922,4283.461426,4269.871582,4216.282227,4216.282227,4367.692383,4385.512695,4309.615234,4391.025879
4313.846191,4324.615234,4317.436035,4343.589844,4368.461426,4296.794922,4293.589844,4277.692383,4223.461426,4211.666504,4366.666504,4384.743652,4301.666504,4381.282227
4305.512695,4318.589844,4313.846191,4339.743652,4369.487305,4303.589844,4310.384766,4292.436035,4235.769043,4222.820313,4388.077148,4389.743652,4315.897461,4378.461426
4321.538574,4330.641113,4317.179688,4341.922852,4362.563965,4296.025879,4301.282227,4295.512695,4235.384766,4237.436035,4412.05127,4391.922852,4357.05127,4394.102539
4332.94873,4325.384766,4320.256348,4338.333496,4358.974121,4292.94873,4291.153809,4293.589844,4236.282227,4235.897461,4418.205078,4391.153809,4381.538574,4404.358887
4321.538574,4300.897461,4316.922852,4325.256348,4358.974121,4298.205078,4296.410156,4292.436035,4246.538574,4236.538574,4420.769043,4388.589844,4387.307617,4398.461426
4309.743652,4276.922852,4308.077148,4305,4350.256348,4294.615234,4294.615234,4290.641113,4249.230957,4245,4432.179688,4384.358887,4403.461426,4395.512695
4307.563965,4259.487305,4299.615234,4291.666504,4344.358887,4297.179688,4295.384766,4294.615234,4247.692383,4250,4435.769043,4385.512695,4405.769043,4395.641113
4303.589844,4262.05127,4298.461426,4297.307617,4352.820313,4308.077148,4307.179688,4297.94873,4249.358887,4252.820313,4424.358887,4388.077148,4376.410156,4386.666504
4306.666504,4278.717773,4303.846191,4312.05127,4356.538574,4304.487305,4309.615234,4294.487305,4248.717773,4246.025879,4413.205078,4383.589844,4377.05127,4386.282227
4311.922852,4277.563965,4307.692383,4311.794922,4348.205078,4298.461426,4303.589844,4290.769043,4246.025879,4233.205078,4410.384766,4381.025879,4400.256348,4393.589844
4304.230957,4262.307617,4304.615234,4297.94873,4337.05127,4292.94873,4298.461426,4286.282227,4240.641113,4232.563965,4414.743652,4380.769043,4385.512695,4388.589844
4298.461426,4257.820313,4301.538574,4294.230957,4332.692383,4279.871582,4292.179688,4278.974121,4232.563965,4227.692383,4408.846191,4371.025879,4357.692383,4378.974121
4309.102539,4270.769043,4307.05127,4310.128418,4342.307617,4282.563965,4293.974121,4281.538574,4232.692383,4220.384766,4396.794922,4364.230957,4361.922852,4381.922852
4322.05127,4289.615234,4316.282227,4329.743652,4353.717773,4297.05127,4304.358887,4290.512695,4237.94873,4231.410156,4398.461426,4368.333496,4370.384766,4388.589844
4320.256348,4296.666504,4318.333496,4332.563965,4354.615234,4296.153809,4303.589844,4287.94873,4237.820313,4231.922852,4395.128418,4367.307617,4357.307617,4385.128418
4316.410156,4293.717773,4311.410156,4326.922852,4355.641113,4293.846191,4301.538574,4278.846191,4233.077148,4216.538574,4388.589844,4360.897461,4355.512695,4384.871582
4320.384766,4294.871582,4310.897461,4327.94873,4361.538574,4300.769043,4307.820313,4284.102539,4231.410156,4221.410156,4402.94873,4364.487305,4368.333496,4390.769043
4324.358887,4299.871582,4315.512695,4329.743652,4361.282227,4299.230957,4307.563965,4295.256348,4240.641113,4235.384766,4419.871582,4374.358887,4376.025879,4396.922852
4320.384766,4294.743652,4311.410156,4325.769043,4356.410156,4293.974121,4298.717773,4288.589844,4245.769043,4234.615234,4413.461426,4374.487305,4376.025879,4396.666504
4313.205078,4286.794922,4307.94873,4322.179688,4356.794922,4294.102539,4289.743652,4277.307617,4235.256348,4232.563965,4403.589844,4371.922852,4373.717773,4388.461426
4315.384766,4299.615234,4311.922852,4329.230957,4358.589844,4289.102539,4284.743652,4275.769043,4231.922852,4233.333496,4405.512695,4373.717773,4376.153809,4389.230957
4311.410156,4291.794922,4309.230957,4322.179688,4354.358887,4289.102539,4286.153809,4279.102539,4243.974121,4232.563965,4409.102539,4377.05127,4374.230957,4392.94873
4300.384766,4253.205078,4300.384766,4302.179688,4346.538574,4296.025879,4289.358887,4287.563965,4251.794922,4235.128418,4410.641113,4380.769043,4366.025879,4385.384766
4304.358887,4270.256348,4301.153809,4312.179688,4347.94873,4290.128418,4285.512695,4289.871582,4250.897461,4237.179688,4409.743652,4383.461426,4365.897461,4380.897461
4315.641113,4332.436035,4307.563965,4340.769043,4355.512695,4280.897461,4280.128418,4278.333496,4244.871582,4229.615234,4399.358887,4377.94873,4362.05127,4382.563965
4315.769043,4351.666504,4312.692383,4348.974121,4358.717773,4288.461426,4281.666504,4275.512695,4236.794922,4218.461426,4376.922852,4366.922852,4336.025879,4375.512695
4306.922852,4338.717773,4310.256348,4340.769043,4360.512695,4297.179688,4286.666504,4276.666504,4233.461426,4213.077148,4357.436035,4362.692383,4305.641113,4364.230957
4298.077148,4335.512695,4300.512695,4331.922852,4363.717773,4298.205078,4293.589844,4268.461426,4233.589844,4216.410156,4353.589844,4364.743652,4294.487305,4361.153809
4295.897461,4332.692383,4301.153809,4325.384766,4364.871582,4300.128418,4296.153809,4271.282227,4233.461426,4213.205078,4360.384766,4364.230957,4297.94873,4362.05127
4303.717773,4332.436035,4308.846191,4324.871582,4365.512695,4300.128418,4293.461426,4274.102539,4232.820313,4201.538574,4358.077148,4357.05127,4301.025879,4364.102539
4312.307617,4335.256348,4313.846191,4328.205078,4367.436035,4296.666504,4293.077148,4262.179688,4231.282227,4205.512695,4362.179688,4355.256348,4308.589844,4371.410156
4318.846191,4328.717773,4321.410156,4330.897461,4366.153809,4296.153809,4292.436035,4262.436035,4231.538574,4220.769043,4388.717773,4369.230957,4321.922852,4387.05127
4327.179688,4325.769043,4328.717773,4335.512695,4360.384766,4295.128418,4290.769043,4276.538574,4235.641113,4221.666504,4395.128418,4379.743652,4326.282227,4399.743652
